"","baseMean"
"GPFGEMDG_00252",2666.71688895796
"ptsG_2",31.5792499784373
"codY",30.8529346086303
"GPFGEMDG_01573",29.7828868879433
"glcU_2",28.9405858296466
"GPFGEMDG_00633",20.8073433810995
"ettA_2",20.1755040208648
"GPFGEMDG_00297",19.214765734157
"GPFGEMDG_00115",18.4942120191261
"sufS",17.8937505899337
"folA_1",17.6535660182567
"GPFGEMDG_01592",15.98140181095
"drrA",15.2142945240244
"GPFGEMDG_01451",14.6512588722947
"GPFGEMDG_02511",14.6512588722947
"cmk",12.729782298879
"GPFGEMDG_02682",11.6344605183716
"ychF",11.6344605183716
"GPFGEMDG_01044",11.1230556604212
"mnmG_1",9.96765972459394
"xseA",9.71669230105762
"GPFGEMDG_01493",7.79892408374361
"GPFGEMDG_01501",7.62417708091557
"tagO",7.03181679681801
"rnpA",6.77611436784281
"GPFGEMDG_02842",6.72516800695495
"GPFGEMDG_01160",6.52041193886761
"GPFGEMDG_01164",5.74554572329289
"tsaE",5.62545343745441
"GPFGEMDG_01602",5.36975100847921
"GPFGEMDG_01017",5.11404857950401
"GPFGEMDG_01087",5.11404857950401
"GPFGEMDG_01484",4.98619736501641
"rbgA",4.73049493604121
"addA",4.72273600739209
"GPFGEMDG_02631",4.60264372155361
"yycJ",4.60264372155361
"recQ_1",53.568974437413
"der_2",3.48267628931595
"GPFGEMDG_00032",3.32413157667761
"rnz",3.19628036219001
"GPFGEMDG_01462",2.16166114509266
"yacL",661.24427332764
"GPFGEMDG_01927",465.619583847242
"GPFGEMDG_02002",211.63228134643
"mtlR_2",3154.46286953323
"dagK_1",1972.28989740882
"GPFGEMDG_01751",2077.6553028542
"pemK",1765.36796469933
"GPFGEMDG_02375",1187.13364744857
"ypdA_1",2839.99187123288
"yghA",122.522756066629
"nfo_1",10027.3688780849
"GPFGEMDG_01568",194.981182056307
"GPFGEMDG_02480",1741.9691834347
"GPFGEMDG_01693",2561.67769048896
"GPFGEMDG_00665",4025.35886959204
"GPFGEMDG_01918",46.8783120707549
"GPFGEMDG_01156",499.991423200771
"pemA",2514.60491812482
"GPFGEMDG_01946",3863.60933807071
"ybiT_3",288.051064970717
"GPFGEMDG_01642",414.602971504033
"GPFGEMDG_02708",511.964342291342
"GPFGEMDG_00049",1429.64449097117
"comEC",756.25823851737
"GPFGEMDG_02803",1476.2612113074
"opuCD",3997.69256597029
"nnrD",6939.54749927399
"cypC",1730.13715963625
"GPFGEMDG_01801",202.629448635401
"lacG_2",1235.25260261979
"ndk",1371.78963328887
"tqsA_1",240.472093420009
"GPFGEMDG_01258",297.789118620094
"GPFGEMDG_00664",1531.92340930463
"GPFGEMDG_01611",782.34477991068
"sbcD",69.8194179322191
"lacS",1699.03197514844
"noxE",1326.35415017199
"malP",1729.39568270412
"nfo_2",501.262925082242
"GPFGEMDG_01569",3207.43393900333
"GPFGEMDG_02124",109.499862325429
"exuR_1",2052.15117205316
"cpdA_2",1253.79432827116
"licC_1",5018.14346481675
"GPFGEMDG_00649",694.476966118477
"mepM_2",1098.20829861655
"GPFGEMDG_00563",62.5067194914225
