"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"atpF"	8467.29714424179	-0.20196641479154	0.0546651658405082	-3.69460901995248	0.000220225391000375	0.000286424654563254
"ruvB"	8715.06211833574	-0.202796562628874	0.0579900069043975	-3.49709499023177	0.000470354318217263	0.000603495894393338
"deoB"	15101.3962844878	-0.211982757145779	0.0560821176252219	-3.77986363786028	0.000156914271822262	0.000205309652908338
"yidA_1"	3514.3370335839	-0.219956635004039	0.0652127842034008	-3.37290667299201	0.000743791586160927	0.000949534438996724
"hpt"	9330.41790289628	-0.224145061171922	0.0541554335207562	-4.13892100200829	3.4894306820129e-05	4.66175695500496e-05
"atpG"	20782.6664004519	-0.225456466119247	0.0664685287362095	-3.39192803580783	0.000694026659868133	0.00088749169015883
"divIB"	12045.9057531865	-0.231596506967449	0.0623714768857103	-3.71317978235191	0.000204671384706161	0.000266650572204862
"walK_2"	8323.95416213376	-0.237717136606503	0.0542664814852971	-4.38055186369342	1.18379111075448e-05	1.59974610619261e-05
"clcA"	2588.99411721778	-0.245260759790243	0.0598265229416777	-4.09953224307113	4.13985994640931e-05	5.50655606845536e-05
"polC_1"	17117.6401153477	-0.250041095600556	0.0463366746225594	-5.39618126758759	6.80741742076184e-08	9.87399688744789e-08
"opuAA"	7748.72486195889	-0.25342075197113	0.0666452125066629	-3.80253498247596	0.000143223035050666	0.000188041967570832
"recR"	7366.7033826793	-0.255108503512469	0.0571565722843447	-4.46332754601423	8.06965503899685e-06	1.09537296117578e-05
"rsmB"	10245.9706544075	-0.255597919333053	0.0505208860582503	-5.05925250476308	4.2090319489928e-07	5.95204796501025e-07
"pncB2"	8843.50214771175	-0.257240465895516	0.0641683218395373	-4.00883891803786	6.1018019042351e-05	8.080908087087e-05
"coaA"	7310.90597076503	-0.260579781362803	0.0571425674930393	-4.56016928876262	5.11123989177268e-06	6.97528526448906e-06
"ftsW_1"	9913.08368063596	-0.263490807961653	0.0491891300900243	-5.35668769663991	8.47614420672368e-08	1.22014816888848e-07
"rsmC"	2405.37953300498	-0.267286300590002	0.0745908126029919	-3.58336759263674	0.000339192738948101	0.000437417901285315
"pcrA"	8535.23364048639	-0.268733270893129	0.0471709044595482	-5.69701331725754	1.21924407392371e-08	1.80282400445224e-08
"ohrR"	1605.25468278677	-0.28440163689227	0.066797198838643	-4.257688074305	2.06551873034704e-05	2.77161676327624e-05
"iadA"	9008.15347907868	-0.28830766912527	0.0646071539327431	-4.46247283118835	8.10192037069538e-06	1.09877335036234e-05
"pcp"	3973.87424309301	-0.298118044086123	0.0651221974083849	-4.5778253184027	4.69834770044833e-06	6.42909573026308e-06
"gltX"	27959.3819273839	-0.3010691917885	0.0566308797647243	-5.31634318660255	1.05873381679595e-07	1.5140390638312e-07
"ydcV"	1521.61625964543	-0.301592130524233	0.0809116168339219	-3.72742681861466	0.000193444704560048	0.000252239970072734
"pgsA"	6095.98270453094	-0.30308386296385	0.0573494402369771	-5.28486174776001	1.25799726499695e-07	1.79562308771355e-07
"steT_2"	3116.066802818	-0.314469202705829	0.0670759483723071	-4.68825578075106	2.7554348793907e-06	3.79432850028213e-06
"ezrA"	47061.48554671	-0.314490032229674	0.0484326757261081	-6.49334416310485	8.39516020614551e-11	1.31271344907183e-10
"ltaS1_1"	2494.73219401729	-0.315203649965445	0.069786603934313	-4.51667844823244	6.28171825360828e-06	8.54964870441949e-06
"pgcA"	19102.6939791313	-0.318530025902913	0.0626734772043221	-5.08237359903411	3.72747352484571e-07	5.28579346214154e-07
"ligA_1"	8070.20068556548	-0.320556159775133	0.0699688319149581	-4.58141362377958	4.61843356735572e-06	6.32542654953485e-06
"proS"	19980.0157504164	-0.325111994882462	0.0673673129961255	-4.8259605500543	1.3933008863127e-06	1.93789703183036e-06
"plsX"	16162.5886139156	-0.325531981078811	0.0529459265611927	-6.14838576302134	7.82754722942265e-10	1.19213544304107e-09
